occurrence_id,classification,latitude,longitude,city,state,country,date,time,aircraft_type,aircraft_manufacturer,aircraft_model,aircraft_damage_level,total_aircraft_fatalities,type_category
45980,INCIDENTE,-12.90861111111,-38.3225,SALVADOR,BA,BRASIL,07/06/2012,18:24:00,AVIÃO,EMBRAER,ERJ 190-200 IGW,NENHUM,0,OUTROS
45973,INCIDENTE,-3.10719,-60.0261,MANAUS,AM,BRASIL,22/06/2012,14:30:00,AVIÃO,EMBRAER,EMB-110P1,NENHUM,0,F.O.D.
45972,INCIDENTE,-25.53166666666,-49.17611111111,CURITIBA,PR,BRASIL,19/06/2012,15:00:00,AVIÃO,CESSNA AIRCRAFT,510,LEVE,0,ESTOURO DE PNEU
45964,INCIDENTE,-23.62611111111,-46.65638888888,SÃO PAULO,SP,BRASIL,16/06/2012,13:15:00,AVIÃO,EMBRAER,EMB-810D,NENHUM,0,COLISÃO COM AVE
45960,INCIDENTE,-19.85194444444,-43.95055555555,BELO HORIZONTE,MG,BRASIL,23/06/2012,19:01:00,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,NENHUM,0,ESTOURO DE PNEU
45959,INCIDENTE,-19.85194444444,-43.95055555555,BELO HORIZONTE,MG,BRASIL,22/06/2012,14:32:00,AVIÃO,CESSNA AIRCRAFT,210L,NENHUM,0,TRÁFEGO AÉREO
45952,INCIDENTE,-4.883055555555,-65.35583333333,COARI,AM,BRASIL,21/06/2012,12:15:00,HELICÓPTERO,SIKORSKY AIRCRAFT,S-61N,NENHUM,0,FALHA DO MOTOR EM VOO
45951,INCIDENTE,-20.25805555555,-40.28638888888,VITÓRIA,ES,BRASIL,21/06/2012,15:00:00,AVIÃO,EMBRAER,ERJ 190-100 IGW,LEVE,0,PERDA DE COMPONENTE NO SOLO
45950,INCIDENTE,-23.1277777778,-46.5747222222,SÃO PAULO,SP,BRASIL,26/05/2012,19:30:00,AVIÃO,AERO BOERO,AB-115,LEVE,0,PERDA DE CONTROLE NO SOLO
45949,INCIDENTE,-23.228889,-45.871111,SÃO JOSÉ DOS CAMPOS,SP,BRASIL,24/06/2012,11:40:00,AVIÃO,CESSNA AIRCRAFT,172S,NENHUM,0,ESTOURO DE PNEU
45948,INCIDENTE,-23.18166666666,-46.94361111111,JUNDIAÍ,SP,BRASIL,25/06/2012,15:18:00,AVIÃO,CESSNA AIRCRAFT,172S,NENHUM,0,ESTOURO DE PNEU
45947,INCIDENTE,-20.25805555555,-40.28638888888,VITÓRIA,ES,BRASIL,20/06/2012,14:30:00,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,LEVE,0,PERDA DE COMPONENTE EM VOO
45946,INCIDENTE,-22.92083333333,-42.07138888888,CABO FRIO,RJ,BRASIL,11/06/2012,14:50:00,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,LEVE,0,COLISÃO COM AVE
45945,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,13/06/2012,21:00:00,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76A,NENHUM,0,COM TREM DE POUSO
45944,INCIDENTE,-23.00694444444,-47.13444444444,CAMPINAS,SP,BRASIL,19/05/2012,10:28:00,AVIÃO,EMBRAER,ERJ 190-200 IGW,NENHUM,0,POUSO BRUSCO
45943,INCIDENTE,-20.25805555555,-40.28638888888,VITÓRIA,ES,BRASIL,07/06/2012,12:00:00,HELICÓPTERO,BELL HELICOPTER,206L-3,LEVE,0,OUTROS
45942,INCIDENTE,-22.337946,-47.357869,ARARAS,SP,BRASIL,19/06/2012,13:40:00,AVIÃO,CESSNA AIRCRAFT,210L,SUBSTANCIAL,0,COM TREM DE POUSO
45941,INCIDENTE GRAVE,-23.6872222222,-47.5575,SALTO DE PIRAPORA,SP,BRASIL,25/05/2012,20:15:00,AVIÃO,MOONEY AIRCRAFT,M20TN,SUBSTANCIAL,0,EXCURSÃO DE PISTA
45939,ACIDENTE,\t-23.76944444\t,\t-53.41944444\t,UMUARAMA,PR,BRASIL,30/05/2012,19:00:00,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO
45938,ACIDENTE,-14.1938888889,-49.36,ALTO HORIZONTE,GO,BRASIL,20/06/2012,16:15:00,AVIÃO,CESSNA AIRCRAFT,172RG,SUBSTANCIAL,0,POUSO LONGO
45937,ACIDENTE,-13.5744444444,-52.2705555556,CANARANA,MT,BRASIL,22/06/2012,14:00:00,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,SUBSTANCIAL,0,POUSO LONGO
45936,ACIDENTE,-11.885,-55.5861111111,SINOP,MT,BRASIL,13/06/2012,11:50:00,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO
45935,INCIDENTE,-16.6325,-49.22111111111,GOIÂNIA,GO,BRASIL,20/06/2012,09:10:00,AVIÃO,EMBRAER,EMB-810D,LEVE,0,PERDA DE CONTROLE NO SOLO
45934,ACIDENTE,-2.5202777778,-44.1372222222,PAÇO DO LUMIAR,MA,BRASIL,14/06/2012,19:40:00,HELICÓPTERO,BELL HELICOPTER,206B,SUBSTANCIAL,1,OUTROS
45933,ACIDENTE,-16.3,-56.1,BARÃO DE MELGAÇO,MT,BRASIL,05/06/2012,20:30:00,HELICÓPTERO,ROBINSON HELICOPTER,R44,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO
45932,INCIDENTE GRAVE,-16.6325,-49.22111111111,GOIÂNIA,GO,BRASIL,06/06/2012,14:05:00,AVIÃO,HAWKER BEECHCRAFT,C90GT,LEVE,0,COM TREM DE POUSO
45931,INCIDENTE GRAVE,-19.85194444444,-43.95055555555,BELO HORIZONTE,MG,BRASIL,12/06/2012,18:40:00,AVIÃO,CESSNA AIRCRAFT,150F,SUBSTANCIAL,0,COM TREM DE POUSO
45929,ACIDENTE,-19.9080555556,-43.9852777778,BELO HORIZONTE,MG,BRASIL,26/05/2012,11:00:00,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,SUBSTANCIAL,0,POUSO LONGO
45928,ACIDENTE,-19.8538888889,-47.7797222222,DELTA,MG,BRASIL,27/05/2012,14:00:00,AVIÃO,BEECH AIRCRAFT,95-B55,SUBSTANCIAL,0,FOGO NO SOLO
45927,ACIDENTE,-23.33166666666,-47.85805555555,TATUÍ,SP,BRASIL,26/05/2012,12:30:00,AVIÃO,SOCATA,ST-10,SUBSTANCIAL,0,COM TREM DE POUSO
45918,INCIDENTE,"-39,03333","-14,85100",ILHÉUS,BA,BRASIL,05/06/2012,18:34:00,ULTRALEVE,ANDERSON BRITO SPINELLI,PARADISE P-1,LEVE,0,OUTROS
45917,INCIDENTE,-12.90861111111,-38.3225,SALVADOR,BA,BRASIL,11/06/2012,19:30:00,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,LEVE,0,OUTROS
45916,INCIDENTE,-8.126388888888,-34.92277777777,RECIFE,PE,BRASIL,25/05/2012,18:00:00,AVIÃO,BOEING COMPANY,737-8EH,NENHUM,0,TRÁFEGO AÉREO
45915,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,23/05/2012,14:30:00,AVIÃO,HAWKER BEECHCRAFT,B200GT,NENHUM,0,PERDA DE CONTROLE NO SOLO
45914,ACIDENTE,-22.3427777778,-41.7638888889,MACAÉ,RJ,BRASIL,06/06/2012,21:35:00,HELICÓPTERO,EUROCOPTER FRANCE,EC 225 LP,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO
45913,ACIDENTE,,,ALCÂNTARA,MA,BRASIL,25/05/2012,20:45:00,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO
45912,INCIDENTE GRAVE,-2.7269444444,-62.9505555556,MUCAJAÍ,RR,BRASIL,04/05/2012,19:30:00,AVIÃO,CESSNA AIRCRAFT,U206G,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO
45904,INCIDENTE,-19.85194444444,-43.95055555555,BELO HORIZONTE,MG,BRASIL,31/05/2012,00:03:00,AVIÃO,EMBRAER,EMB-500,LEVE,0,ESTOURO DE PNEU
45903,INCIDENTE,-16.6325,-49.22111111111,GOIÂNIA,GO,BRASIL,20/05/2012,21:17:00,AVIÃO,CESSNA AIRCRAFT,150L,NENHUM,0,TRÁFEGO AÉREO
45902,ACIDENTE,-25.233333,-49.950000,PONTA GROSSA,PR,BRASIL,28/05/2012,20:25:00,AVIÃO,PIPER AIRCRAFT,PA-28-140,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO
45901,ACIDENTE,-1.415,-48.4588888889,BELÉM,PA,BRASIL,01/06/2012,15:08:00,AVIÃO,PIPER AIRCRAFT,PA-28R-200,SUBSTANCIAL,0,OUTROS
45900,ACIDENTE,-23.1277777778,-46.5747222222,SÃO PAULO,SP,BRASIL,02/06/2012,12:29:00,AVIÃO,PIPER AIRCRAFT,PA-28R-200,DESTRUÍDA,1,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45899,ACIDENTE,-23.4222222222,-46.7075,RIO CLARO,SP,BRASIL,03/06/2012,19:40:00,AVIÃO,PIPER AIRCRAFT,J3C-65,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO
45898,INCIDENTE,-23.18166666666,-46.94361111111,JUNDIAÍ,SP,BRASIL,01/06/2012,16:54:00,AVIÃO,CESSNA AIRCRAFT,152,NENHUM,0,COM TREM DE POUSO
45897,INCIDENTE,-23.18166666666,-46.94361111111,JUNDIAÍ,SP,BRASIL,03/06/2012,20:28:00,AVIÃO,CESSNA AIRCRAFT,152,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA
45895,INCIDENTE,-12.90861111111,-38.3225,SALVADOR,BA,BRASIL,17/05/2012,09:55:00,AVIÃO,AIRBUS INDUSTRIE,A320-232,Unknown,0,COLISÃO COM OBSTÁCULOS NO SOLO
45894,ACIDENTE,0.15250,-50.38972,AFUÁ,PA,BRASIL,16/05/2012,12:10:00,AVIÃO,CESSNA AIRCRAFT,U206G,SUBSTANCIAL,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45892,INCIDENTE,-19.62444444444,-43.97194444444,CONFINS,MG,BRASIL,16/05/2012,17:50:00,AVIÃO,BOEING COMPANY,727-243,LEVE,0,FALHA DO MOTOR EM VOO
45891,INCIDENTE GRAVE,\t-24.68527778\t,\t-53.69666667\t,TOLEDO,PR,BRASIL,23/05/2012,11:35:00,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,SUBSTANCIAL,0,COM TREM DE POUSO
45890,ACIDENTE,,,IMBITUBA,SC,BRASIL,20/05/2012,17:40:00,AVIÃO,CESSNA AIRCRAFT,172S,SUBSTANCIAL,0,PERDA DE COMPONENTE EM VOO
45889,INCIDENTE,-22.9366666667,-48.4675,BOTUCATU,SP,BRASIL,22/05/2012,13:30:00,AVIÃO,Unknown,EMB-202 IPANEMA,LEVE,0,PERDA DE CONTROLE NO SOLO
45887,INCIDENTE,-23.18166666666,-46.94361111111,JUNDIAÍ,SP,BRASIL,24/05/2012,19:23:00,AVIÃO,CESSNA AIRCRAFT,172S,NENHUM,0,COM TREM DE POUSO
45867,INCIDENTE GRAVE,-23.62611111111,-46.65638888888,SÃO PAULO,SP,BRASIL,18/05/2012,15:00:00,HELICÓPTERO,BELL HELICOPTER,206L-4,LEVE,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45866,ACIDENTE,-21.4638888889,-51.5916666667,DRACENA,SP,BRASIL,20/05/2012,19:35:00,AVIÃO,AERO BOERO,AB-115,SUBSTANCIAL,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
45865,INCIDENTE,-21.6322827,-48.8746466,ITÁPOLIS,SP,BRASIL,18/05/2012,19:45:00,AVIÃO,EMBRAER,EMB-505,LEVE,0,PERDA DE COMPONENTE EM VOO
45864,INCIDENTE,-22.38222222222,-40.73194444444,CAMPOS DOS GOYTACAZES,RJ,BRASIL,17/03/2012,17:30:00,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,NENHUM,0,POUSO EM LOCAL NÃO PREVISTO
